-BEGIN HEADER-,,,,,,,,,,,Date,T2M,,,
NASA/POWER CERES/MERRA2 Native Resolution Daily Data ,,,,,,,,,,,01-08-2017,29.59,,Row Labels,Average of T2M
Dates (month/day/year): 08/01/2017 through 08/01/2023 ,,,,,,,,,,,02-08-2017,28.98,,2017,25.98437908
Location: Latitude  10.2122   Longitude 77.9835 ,,,,,,,,,,,03-08-2017,29.33,,2018,27.32868493
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 218.52 meters,,,,,,,,,,,04-08-2017,29.26,,2019,28.13706849
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,,,,05-08-2017,28.85,,2020,27.47398907
Parameter(s): ,,,,,,,,,,,06-08-2017,29.56,,2021,26.58805479
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,,,,07-08-2017,28.67,,2022,26.63553425
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,,,,08-08-2017,27.89,,Grand Total,27.13628095
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) ,,,,,,,,,,,09-08-2017,28.06,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,,,,10-08-2017,28.06,,,
TS              MERRA-2 Earth Skin Temperature (C) ,,,,,,,,,,,11-08-2017,27.6,,,
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) ,,,,,,,,,,,12-08-2017,28.6,,,
-END HEADER-,,,,,,,,,,,13-08-2017,26.21,,,
YEAR,MO,DY,RH2M,PRECTOTCORR,QV2M,T2M,TS,T2M_RANGE,,,14-08-2017,25.57,,,
2017,8,1,65.88,10.16,16.54,29.59,30.46,11.91,,,15-08-2017,27.15,,,
2017,8,2,69.31,6.07,17.15,28.98,29.45,9.92,,,16-08-2017,27.29,,,
2017,8,3,62.25,1.01,15.44,29.33,30.24,12.54,,,17-08-2017,27.25,,,
2017,8,4,63.94,0.61,16.05,29.26,30.07,11.66,,,18-08-2017,27.37,,,
2017,8,5,64.44,0.59,15.93,28.85,29.54,9.74,,,19-08-2017,27.37,,,
2017,8,6,63,0.55,15.93,29.56,30.65,12.21,,,20-08-2017,27.1,,,
2017,8,7,67.38,5.18,16.48,28.67,29.26,8.88,,,21-08-2017,26.94,,,
2017,8,8,68.56,10.64,15.99,27.89,28.18,9.2,,,22-08-2017,27.38,,,
2017,8,9,72.19,9.02,16.97,28.06,28.97,9.55,,,23-08-2017,28.11,,,
